id;accession_number;acquisition_date;image_laterality;view_position;image_path;image_raw;thumb_path
1;invoice;2023-07-13T11:20:46;Maurícia;Metal;Representative;cross-platform;functionalities Buckinghamshire
2;compress;2023-07-13T17:53:13;Implementation;bypass  Buckinghamshire;Buckinghamshire Officer;Baht Orchestrator Strategist;expedite Algodão back
3;THX;2023-07-13T02:46:09;Rodovia;Research;target Omã Distributed;system;JBOD Vanuatu
4;Computador;2023-07-13T13:06:13;Lempira;deposit Yemeni Uganda;bricks-and-clicks attitude-oriented Helena;neural;Avon
5;up 24/7 deposit;2023-07-13T18:39:32;Account RAM Metical;e-business Sharable;Computador;Cambridgeshire;Account project Mouse
6;capacitor Concreto;2023-07-13T20:12:44;Fresco;Consultant Forward Carro;microchip Aço e-commerce;Denar Corporate;visualize Technician
7;reboot Latvia Alameda;2023-07-13T12:01:05;Alameda;virtual Irlanda District;prata Avon e-commerce;Sapatos Queijo;Specialist
8;Genérico Mercearia;2023-07-13T18:14:24;Salada matrices;leverage parallelism HDD;Livros moderator Eslovênia;Versatile mão;Martinica Syrian interface
9;engage Designer core;2023-07-12T23:29:20;Travessa action-items;Quality-focused;software Livros Amapá;Comoro parsing sensor;Executive platforms
10;National Metrics Bahamas;2023-07-13T19:37:25;payment Borders Supervisor;haptic reboot;Calças;Silver Multi-tiered;Strategist
