id;name;department;hash
1;XSS;payment;Mongólia
2;Avon matrices;transmitter grow;Goiás XML Alameda
3;compress Prático;Algodão;Vision-oriented Borders cenoura
4;system;deposit payment;Maranhão
5;heuristic;Amapá Acre;Prático wireless
6;SCSI;Direct Polarised;Computador Rodovia Estônia
7;Pequeno Usability;Chief AGP Bebê;Esportes do HDD
8;Granito Aço;platforms;reboot
9;Bedfordshire;deposit Accounts;Aço Amapá standardization
10;Paulo Frango engine;Producer attitude-oriented synergistic;Borders connecting
